account_id,month,target_rows,distinct_campaigns,latest_target_date,latest_campaign,latest_channel,borrower_id,loan_type,principal_amount,outstanding_amount,dpd,risk_segment,status,timezone,clean_recovery,payment_events,recovered_flag
ACC0000014,2026-05,1,1,2026-05-05,CMP0000046,FIELD,BRW0000483,BNPL,663562.94,309754.88,60,MEDIUM,WRITEOFF,UTC,81878.72,1,1
ACC0000015,2026-01,1,1,2026-01-27,CMP0000112,VOICE,,CREDIT_CARD,458992.65,571588.51,180,NPA,PAID,Asia/Kolkata,0.0,0,0
ACC0000015,2026-05,1,1,2026-05-15,CMP0000028,SMS,,CREDIT_CARD,458992.65,571588.51,180,NPA,PAID,Asia/Kolkata,43465.37,1,1
ACC0000016,2026-03,1,1,2026-03-20,CMP0000101,VOICE,BRW0007427,CREDIT_CARD,20937.2,219141.72,180,LOW,WRITEOFF,Asia/Dubai,0.0,0,0
ACC0000016,2026-06,2,2,2026-06-09,CMP0000051,WHATSAPP,BRW0007427,CREDIT_CARD,20937.2,219141.72,180,LOW,WRITEOFF,Asia/Dubai,0.0,0,0
ACC0000017,2026-02,1,1,2026-02-04,CMP0000022,VOICE,BRW0011295,BNPL,534698.26,5858.33,180,NPA,ACTIVE,Asia/Kolkata,0.0,0,0
ACC0000017,2026-03,1,1,2026-03-12,CMP0000099,WHATSAPP,BRW0011295,BNPL,534698.26,5858.33,180,NPA,ACTIVE,Asia/Kolkata,0.0,0,0
ACC0000019,2026-03,1,1,2026-03-19,CMP0000115,VOICE,BRW0006604,BNPL,396730.22,466998.79,90,MEDIUM,PAID,Asia/Dubai,0.0,0,0
ACC0000020,2026-01,1,1,2026-01-05,CMP0000120,SMS,BRW0009853,PERSONAL,161866.22,45094.95,45,NPA,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000021,2026-02,1,1,2026-02-03,CMP0000072,WHATSAPP,BRW0007548,PERSONAL,239747.43,360763.28,1,HIGH,ACTIVE,UTC,148955.31,1,1
ACC0000021,2026-03,1,1,2026-03-29,CMP0000115,WHATSAPP,BRW0007548,PERSONAL,239747.43,360763.28,1,HIGH,ACTIVE,UTC,112208.34,1,1
ACC0000022,2026-01,1,1,2026-01-03,CMP0000086,SMS,BRW0008984,CREDIT_CARD,124527.1,164021.52,75,HIGH,PAID,Asia/Dubai,0.0,0,0
ACC0000022,2026-05,1,1,2026-05-03,CMP0000080,VOICE,BRW0008984,CREDIT_CARD,124527.1,164021.52,75,HIGH,PAID,Asia/Dubai,0.0,0,0
ACC0000023,2026-06,1,1,2026-06-27,CMP0000011,VOICE,BRW0011800,CREDIT_CARD,423258.91,640336.97,60,HIGH,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000023,2026-07,1,1,2026-07-16,CMP0000053,VOICE,BRW0011800,CREDIT_CARD,423258.91,640336.97,60,HIGH,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000024,2026-05,1,1,2026-05-07,CMP0000002,WHATSAPP,BRW0004644,CREDIT_CARD,437637.9,541188.19,0,HIGH,CLOSED,Asia/Dubai,0.0,0,0
ACC0000025,2026-02,2,2,2026-02-17,CMP0000033,WHATSAPP,BRW0000342,PERSONAL,689186.96,163102.81,5,LOW,PAID,Asia/Kolkata,0.0,0,0
ACC0000025,2026-03,1,1,2026-03-04,CMP0000066,FIELD,BRW0000342,PERSONAL,689186.96,163102.81,5,LOW,PAID,Asia/Kolkata,0.0,0,0
ACC0000027,2026-04,1,1,2026-04-14,CMP0000101,VOICE,BRW0003569,PERSONAL,658817.16,84250.6,75,HIGH,PAID,Asia/Kolkata,0.0,0,0
ACC0000027,2026-07,1,1,2026-07-18,CMP0000118,WHATSAPP,BRW0003569,PERSONAL,658817.16,84250.6,75,HIGH,PAID,Asia/Kolkata,0.0,0,0
ACC0000028,2026-06,1,1,2026-06-25,CMP0000093,WHATSAPP,BRW0006881,AUTO,257105.45,76946.8,1,LOW,PAID,Asia/Dubai,105360.84,1,1
ACC0000029,2026-03,2,2,2026-03-18,CMP0000096,FIELD,BRW0004858,CREDIT_CARD,543313.14,397975.88,60,NPA,PAID,Asia/Dubai,0.0,0,0
ACC0000029,2026-04,1,1,2026-04-18,CMP0000010,VOICE,BRW0004858,CREDIT_CARD,543313.14,397975.88,60,NPA,PAID,Asia/Dubai,0.0,0,0
ACC0000029,2026-06,1,1,2026-06-23,CMP0000089,FIELD,BRW0004858,CREDIT_CARD,543313.14,397975.88,60,NPA,PAID,Asia/Dubai,54002.91,1,1
ACC0000030,2026-06,1,1,2026-06-08,CMP0000011,FIELD,BRW0008905,PERSONAL,64916.48,430667.35,75,LOW,CLOSED,UTC,0.0,0,0
ACC0000031,2026-05,1,1,2026-05-24,CMP0000066,VOICE,BRW0007251,CONSUMER,447379.28,52195.38,120,MEDIUM,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000032,2026-06,1,1,2026-06-05,CMP0000093,SMS,BRW0007025,PERSONAL,613766.91,163166.21,75,HIGH,WRITEOFF,UTC,0.0,0,0
ACC0000032,2026-07,1,1,2026-07-23,CMP0000017,VOICE,BRW0007025,PERSONAL,613766.91,163166.21,75,HIGH,WRITEOFF,UTC,0.0,0,0
ACC0000036,2026-01,1,1,2026-01-28,CMP0000014,FIELD,BRW0008512,CREDIT_CARD,203070.58,43455.51,30,NPA,PAID,Asia/Kolkata,0.0,0,0
ACC0000036,2026-07,1,1,2026-07-18,CMP0000073,VOICE,BRW0008512,CREDIT_CARD,203070.58,43455.51,30,NPA,PAID,Asia/Kolkata,0.0,0,0
ACC0000039,2026-06,1,1,2026-06-14,CMP0000012,FIELD,BRW0008101,PERSONAL,418639.85,307479.36,45,MEDIUM,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000041,2026-01,1,1,2026-01-17,CMP0000035,FIELD,BRW0009805,PERSONAL,428408.26,434086.27,0,MEDIUM,PAID,Asia/Kolkata,0.0,0,0
ACC0000041,2026-07,1,1,2026-07-24,CMP0000011,VOICE,BRW0009805,PERSONAL,428408.26,434086.27,0,MEDIUM,PAID,Asia/Kolkata,0.0,0,0
ACC0000041,2026-08,1,1,2026-08-08,CMP0000113,FIELD,BRW0009805,PERSONAL,428408.26,434086.27,0,MEDIUM,PAID,Asia/Kolkata,0.0,0,0
ACC0000042,2026-01,1,1,2026-01-26,CMP0000029,VOICE,BRW0002352,CREDIT_CARD,25786.31,398194.73,75,HIGH,WRITEOFF,Asia/Dubai,0.0,0,0
ACC0000042,2026-06,1,1,2026-06-04,CMP0000110,WHATSAPP,BRW0002352,CREDIT_CARD,25786.31,398194.73,75,HIGH,WRITEOFF,Asia/Dubai,0.0,0,0
ACC0000042,2026-07,1,1,2026-07-08,CMP0000094,FIELD,BRW0002352,CREDIT_CARD,25786.31,398194.73,75,HIGH,WRITEOFF,Asia/Dubai,0.0,0,0
ACC0000043,2026-03,1,1,2026-03-15,CMP0000017,FIELD,BRW0000499,PERSONAL,458168.93,10596.55,45,MEDIUM,ACTIVE,Asia/Kolkata,0.0,0,0
ACC0000043,2026-06,1,1,2026-06-02,CMP0000021,WHATSAPP,BRW0000499,PERSONAL,458168.93,10596.55,45,MEDIUM,ACTIVE,Asia/Kolkata,0.0,0,0
ACC0000044,2026-01,1,1,2026-01-24,CMP0000067,WHATSAPP,BRW0009131,AUTO,674601.58,93976.57,90,LOW,WRITEOFF,UTC,0.0,0,0
ACC0000044,2026-04,1,1,2026-04-06,CMP0000053,SMS,BRW0009131,AUTO,674601.58,93976.57,90,LOW,WRITEOFF,UTC,0.0,0,0
ACC0000044,2026-05,1,1,2026-05-30,CMP0000029,WHATSAPP,BRW0009131,AUTO,674601.58,93976.57,90,LOW,WRITEOFF,UTC,0.0,0,0
ACC0000044,2026-07,1,1,2026-07-17,CMP0000081,VOICE,BRW0009131,AUTO,674601.58,93976.57,90,LOW,WRITEOFF,UTC,0.0,0,0
ACC0000045,2026-03,1,1,2026-03-27,CMP0000047,FIELD,BRW0011298,PERSONAL,609460.11,588888.35,1,LOW,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000045,2026-05,1,1,2026-05-01,CMP0000001,WHATSAPP,BRW0011298,PERSONAL,609460.11,588888.35,1,LOW,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000046,2026-01,1,1,2026-01-18,CMP0000058,SMS,BRW0001750,CONSUMER,533383.69,487057.57,30,LOW,PAID,Asia/Kolkata,45021.98,1,1
ACC0000046,2026-04,1,1,2026-04-27,CMP0000103,FIELD,BRW0001750,CONSUMER,533383.69,487057.57,30,LOW,PAID,Asia/Kolkata,0.0,0,0
ACC0000048,2026-04,1,1,2026-04-09,CMP0000059,SMS,BRW0002427,CONSUMER,509403.34,563305.29,0,LOW,ACTIVE,UTC,0.0,0,0
ACC0000048,2026-05,2,2,2026-05-17,CMP0000043,VOICE,BRW0002427,CONSUMER,509403.34,563305.29,0,LOW,ACTIVE,UTC,0.0,0,0
ACC0000049,2026-02,1,1,2026-02-09,CMP0000041,VOICE,BRW0010045,BNPL,303559.08,418724.32,15,MEDIUM,CLOSED,UTC,0.0,0,0
ACC0000049,2026-06,2,2,2026-06-29,CMP0000119,FIELD,BRW0010045,BNPL,303559.08,418724.32,15,MEDIUM,CLOSED,UTC,0.0,0,0
ACC0000050,2026-07,1,1,2026-07-08,CMP0000074,VOICE,BRW0003242,BNPL,224912.24,213884.7,15,NPA,CLOSED,Asia/Dubai,0.0,0,0
ACC0000051,2026-01,1,1,2026-01-24,CMP0000011,WHATSAPP,BRW0009029,AUTO,585437.79,580808.7,60,NPA,ACTIVE,UTC,0.0,0,0
ACC0000052,2026-06,1,1,2026-06-11,CMP0000044,WHATSAPP,BRW0011461,CONSUMER,218304.35,676258.98,60,MEDIUM,PAID,UTC,0.0,0,0
ACC0000053,2026-06,1,1,2026-06-10,CMP0000060,WHATSAPP,BRW0003516,PERSONAL,227805.57,480332.44,30,LOW,WRITEOFF,UTC,0.0,0,0
ACC0000054,2026-01,1,1,2026-01-24,CMP0000089,SMS,BRW0007506,PERSONAL,65927.93,647780.81,15,MEDIUM,PAID,UTC,0.0,0,0
ACC0000055,2026-04,1,1,2026-04-07,CMP0000036,FIELD,BRW0000196,AUTO,164530.91,612365.44,45,LOW,ACTIVE,UTC,0.0,0,0
ACC0000056,2026-07,1,1,2026-07-15,CMP0000017,SMS,BRW0008514,CONSUMER,630047.3,374086.74,75,NPA,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000057,2026-03,1,1,2026-03-24,CMP0000029,WHATSAPP,BRW0003852,PERSONAL,259186.37,318116.64,180,HIGH,PAID,UTC,0.0,0,0
ACC0000057,2026-05,1,1,2026-05-31,CMP0000073,WHATSAPP,BRW0003852,PERSONAL,259186.37,318116.64,180,HIGH,PAID,UTC,0.0,0,0
ACC0000058,2026-02,1,1,2026-02-04,CMP0000032,FIELD,BRW0003122,PERSONAL,678999.75,341297.86,30,MEDIUM,CLOSED,Asia/Dubai,0.0,0,0
ACC0000058,2026-06,1,1,2026-06-28,CMP0000086,SMS,BRW0003122,PERSONAL,678999.75,341297.86,30,MEDIUM,CLOSED,Asia/Dubai,0.0,0,0
ACC0000061,2026-06,2,2,2026-06-27,CMP0000004,WHATSAPP,BRW0005792,CREDIT_CARD,175653.23,212611.44,60,HIGH,CLOSED,Asia/Kolkata,0.0,0,0
ACC0000062,2026-03,1,1,2026-03-13,CMP0000073,VOICE,BRW0006847,CREDIT_CARD,753040.12,374609.37,1,LOW,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000063,2026-06,1,1,2026-06-20,CMP0000061,SMS,BRW0003401,AUTO,78189.36,681318.89,45,LOW,CLOSED,Asia/Dubai,0.0,0,0
ACC0000063,2026-08,1,1,2026-08-06,CMP0000115,WHATSAPP,BRW0003401,AUTO,78189.36,681318.89,45,LOW,CLOSED,Asia/Dubai,0.0,0,0
ACC0000064,2026-03,1,1,2026-03-19,CMP0000117,SMS,BRW0010395,CREDIT_CARD,523632.76,422050.66,90,MEDIUM,CLOSED,Asia/Kolkata,0.0,0,0
ACC0000064,2026-05,1,1,2026-05-09,CMP0000103,FIELD,BRW0010395,CREDIT_CARD,523632.76,422050.66,90,MEDIUM,CLOSED,Asia/Kolkata,0.0,0,0
ACC0000065,2026-05,1,1,2026-05-16,CMP0000064,FIELD,BRW0001389,AUTO,158634.0,586399.27,75,MEDIUM,CLOSED,UTC,0.0,0,0
ACC0000066,2026-02,1,1,2026-02-28,CMP0000058,FIELD,BRW0002073,CONSUMER,305292.05,192035.08,0,HIGH,WRITEOFF,UTC,0.0,0,0
ACC0000067,2026-02,1,1,2026-02-20,CMP0000077,VOICE,BRW0010480,CONSUMER,61609.85,659407.78,1,MEDIUM,WRITEOFF,UTC,46809.24,1,1
ACC0000068,2026-01,1,1,2026-01-12,CMP0000025,SMS,BRW0011116,CONSUMER,573340.01,646783.15,0,LOW,WRITEOFF,Asia/Dubai,0.0,0,0
ACC0000068,2026-04,1,1,2026-04-01,CMP0000073,VOICE,BRW0011116,CONSUMER,573340.01,646783.15,0,LOW,WRITEOFF,Asia/Dubai,0.0,0,0
ACC0000069,2026-02,1,1,2026-02-21,CMP0000065,FIELD,BRW0001302,PERSONAL,175340.78,37141.89,120,NPA,WRITEOFF,Asia/Dubai,0.0,0,0
ACC0000070,2026-01,1,1,2026-01-08,CMP0000075,WHATSAPP,BRW0001504,BNPL,317555.4,516746.28,5,LOW,CLOSED,Asia/Dubai,0.0,0,0
ACC0000070,2026-03,1,1,2026-03-18,CMP0000065,VOICE,BRW0001504,BNPL,317555.4,516746.28,5,LOW,CLOSED,Asia/Dubai,67987.31,1,1
ACC0000073,2026-04,1,1,2026-04-02,CMP0000017,FIELD,BRW0008257,CREDIT_CARD,572555.92,187828.0,180,NPA,WRITEOFF,Asia/Dubai,0.0,0,0
ACC0000075,2026-06,1,1,2026-06-12,CMP0000049,FIELD,BRW0004666,PERSONAL,677059.1,484217.05,60,LOW,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000076,2026-08,1,1,2026-08-03,CMP0000035,FIELD,BRW0011961,PERSONAL,439167.1,299260.83,30,MEDIUM,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000077,2026-03,1,1,2026-03-11,CMP0000119,SMS,BRW0001854,BNPL,43888.46,394798.52,30,MEDIUM,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000077,2026-04,1,1,2026-04-28,CMP0000027,VOICE,BRW0001854,BNPL,43888.46,394798.52,30,MEDIUM,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000078,2026-07,1,1,2026-07-24,CMP0000009,WHATSAPP,BRW0002632,CREDIT_CARD,443498.5,388156.65,45,NPA,CLOSED,UTC,0.0,0,0
ACC0000079,2026-05,2,2,2026-05-25,CMP0000020,VOICE,BRW0000891,CONSUMER,315782.22,696932.24,60,NPA,WRITEOFF,Asia/Dubai,0.0,0,0
ACC0000080,2026-02,1,1,2026-02-11,CMP0000084,FIELD,BRW0000553,BNPL,296150.23,468149.27,0,NPA,PAID,UTC,0.0,0,0
ACC0000080,2026-03,1,1,2026-03-16,CMP0000023,SMS,BRW0000553,BNPL,296150.23,468149.27,0,NPA,PAID,UTC,0.0,0,0
ACC0000080,2026-04,1,1,2026-04-01,CMP0000018,FIELD,BRW0000553,BNPL,296150.23,468149.27,0,NPA,PAID,UTC,0.0,0,0
ACC0000081,2026-03,1,1,2026-03-25,CMP0000109,SMS,BRW0004659,PERSONAL,617670.19,156190.22,5,MEDIUM,CLOSED,Asia/Dubai,0.0,0,0
ACC0000081,2026-07,1,1,2026-07-19,CMP0000114,WHATSAPP,BRW0004659,PERSONAL,617670.19,156190.22,5,MEDIUM,CLOSED,Asia/Dubai,0.0,0,0
ACC0000082,2026-07,1,1,2026-07-25,CMP0000058,SMS,BRW0001983,CONSUMER,455087.25,175812.11,5,NPA,ACTIVE,Asia/Kolkata,0.0,0,0
ACC0000083,2026-02,1,1,2026-02-22,CMP0000095,WHATSAPP,BRW0001404,BNPL,431739.57,95368.32,30,MEDIUM,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000083,2026-03,1,1,2026-03-24,CMP0000100,SMS,BRW0001404,BNPL,431739.57,95368.32,30,MEDIUM,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000083,2026-05,1,1,2026-05-21,CMP0000080,WHATSAPP,BRW0001404,BNPL,431739.57,95368.32,30,MEDIUM,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000084,2026-02,1,1,2026-02-26,CMP0000105,SMS,BRW0001684,BNPL,576787.66,662717.34,120,HIGH,CLOSED,UTC,39941.74,1,1
ACC0000084,2026-05,1,1,2026-05-24,CMP0000091,SMS,BRW0001684,BNPL,576787.66,662717.34,120,HIGH,CLOSED,UTC,0.0,0,0
ACC0000086,2026-05,1,1,2026-05-07,CMP0000027,SMS,BRW0006116,CREDIT_CARD,278951.75,124807.97,15,LOW,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000087,2026-01,1,1,2026-01-12,CMP0000046,WHATSAPP,BRW0003223,CONSUMER,24941.8,419043.04,90,MEDIUM,PAID,Asia/Kolkata,0.0,0,0
ACC0000087,2026-04,1,1,2026-04-06,CMP0000113,VOICE,BRW0003223,CONSUMER,24941.8,419043.04,90,MEDIUM,PAID,Asia/Kolkata,0.0,0,0
ACC0000087,2026-06,1,1,2026-06-05,CMP0000062,FIELD,BRW0003223,CONSUMER,24941.8,419043.04,90,MEDIUM,PAID,Asia/Kolkata,0.0,0,0
ACC0000088,2026-02,1,1,2026-02-04,CMP0000089,SMS,BRW0008804,CONSUMER,82445.71,620729.25,15,MEDIUM,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000090,2026-02,1,1,2026-02-28,CMP0000008,VOICE,BRW0010872,AUTO,607321.62,122162.41,30,LOW,PAID,Asia/Dubai,0.0,0,0
ACC0000090,2026-07,1,1,2026-07-26,CMP0000014,VOICE,BRW0010872,AUTO,607321.62,122162.41,30,LOW,PAID,Asia/Dubai,0.0,0,0
ACC0000093,2026-02,1,1,2026-02-19,CMP0000075,SMS,BRW0006243,PERSONAL,401659.14,540876.53,15,HIGH,WRITEOFF,Asia/Kolkata,76806.42,1,1
ACC0000094,2026-01,1,1,2026-01-18,CMP0000048,FIELD,BRW0004414,CREDIT_CARD,228023.21,639876.61,60,HIGH,ACTIVE,UTC,0.0,0,0
ACC0000094,2026-03,1,1,2026-03-10,CMP0000045,SMS,BRW0004414,CREDIT_CARD,228023.21,639876.61,60,HIGH,ACTIVE,UTC,0.0,0,0
ACC0000095,2026-03,1,1,2026-03-05,CMP0000049,VOICE,BRW0008338,BNPL,13365.46,357400.09,75,HIGH,ACTIVE,Asia/Kolkata,0.0,0,0
ACC0000095,2026-07,1,1,2026-07-11,CMP0000112,VOICE,BRW0008338,BNPL,13365.46,357400.09,75,HIGH,ACTIVE,Asia/Kolkata,0.0,0,0
ACC0000096,2026-02,1,1,2026-02-01,CMP0000092,WHATSAPP,BRW0001576,PERSONAL,377277.35,567991.39,15,MEDIUM,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000096,2026-04,1,1,2026-04-28,CMP0000007,FIELD,BRW0001576,PERSONAL,377277.35,567991.39,15,MEDIUM,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000096,2026-05,1,1,2026-05-28,CMP0000024,SMS,BRW0001576,PERSONAL,377277.35,567991.39,15,MEDIUM,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000096,2026-07,1,1,2026-07-12,CMP0000002,SMS,BRW0001576,PERSONAL,377277.35,567991.39,15,MEDIUM,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000096,2026-08,1,1,2026-08-03,CMP0000028,VOICE,BRW0001576,PERSONAL,377277.35,567991.39,15,MEDIUM,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000097,2026-01,1,1,2026-01-17,CMP0000014,SMS,BRW0007710,CONSUMER,350418.61,687977.06,1,NPA,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000097,2026-02,2,2,2026-02-26,CMP0000030,VOICE,BRW0007710,CONSUMER,350418.61,687977.06,1,NPA,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000097,2026-03,1,1,2026-03-27,CMP0000017,WHATSAPP,BRW0007710,CONSUMER,350418.61,687977.06,1,NPA,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000097,2026-06,1,1,2026-06-24,CMP0000004,SMS,BRW0007710,CONSUMER,350418.61,687977.06,1,NPA,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000099,2026-06,1,1,2026-06-22,CMP0000013,WHATSAPP,BRW0006683,CREDIT_CARD,607352.93,237164.9,45,LOW,ACTIVE,Asia/Kolkata,0.0,0,0
ACC0000099,2026-07,1,1,2026-07-28,CMP0000034,FIELD,BRW0006683,CREDIT_CARD,607352.93,237164.9,45,LOW,ACTIVE,Asia/Kolkata,0.0,0,0
ACC0000101,2026-01,1,1,2026-01-16,CMP0000059,WHATSAPP,BRW0009941,BNPL,105469.01,388304.18,15,LOW,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000103,2026-07,1,1,2026-07-21,CMP0000043,SMS,BRW0004562,AUTO,388167.38,355473.4,180,HIGH,CLOSED,UTC,0.0,0,0
ACC0000104,2026-02,1,1,2026-02-02,CMP0000061,FIELD,BRW0006523,CONSUMER,555130.3,178643.43,0,HIGH,CLOSED,UTC,0.0,0,0
ACC0000105,2026-04,1,1,2026-04-27,CMP0000081,FIELD,BRW0000846,AUTO,99175.67,545375.05,90,NPA,CLOSED,Asia/Kolkata,0.0,0,0
ACC0000105,2026-06,1,1,2026-06-22,CMP0000097,VOICE,BRW0000846,AUTO,99175.67,545375.05,90,NPA,CLOSED,Asia/Kolkata,0.0,0,0
ACC0000106,2026-06,1,1,2026-06-27,CMP0000086,VOICE,BRW0002319,BNPL,584099.99,504662.53,90,NPA,PAID,Asia/Dubai,0.0,0,0
ACC0000107,2026-03,1,1,2026-03-13,CMP0000101,FIELD,BRW0000800,AUTO,159480.73,20538.52,0,LOW,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000109,2026-03,1,1,2026-03-23,CMP0000018,WHATSAPP,BRW0001180,PERSONAL,92174.93,357553.08,0,HIGH,ACTIVE,Asia/Kolkata,0.0,0,0
ACC0000111,2026-05,1,1,2026-05-17,CMP0000046,FIELD,,AUTO,573347.79,512264.37,5,MEDIUM,PAID,Asia/Dubai,0.0,0,0
ACC0000112,2026-02,1,1,2026-02-19,CMP0000115,WHATSAPP,BRW0000325,AUTO,219453.71,298252.93,90,NPA,ACTIVE,UTC,0.0,0,0
ACC0000114,2026-01,1,1,2026-01-23,CMP0000006,SMS,BRW0010023,CREDIT_CARD,435378.17,57859.1,75,MEDIUM,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000114,2026-06,1,1,2026-06-14,CMP0000084,WHATSAPP,BRW0010023,CREDIT_CARD,435378.17,57859.1,75,MEDIUM,WRITEOFF,Asia/Kolkata,0.0,0,0
ACC0000115,2026-02,1,1,2026-02-25,CMP0000033,FIELD,BRW0002791,BNPL,412306.24,447187.05,60,HIGH,PAID,Asia/Dubai,0.0,0,0
ACC0000115,2026-03,1,1,2026-03-06,CMP0000117,FIELD,BRW0002791,BNPL,412306.24,447187.05,60,HIGH,PAID,Asia/Dubai,0.0,0,0
ACC0000116,2026-03,2,2,2026-03-19,CMP0000032,WHATSAPP,BRW0010064,BNPL,310166.21,394440.34,75,HIGH,CLOSED,Asia/Kolkata,0.0,0,0
ACC0000117,2026-04,1,1,2026-04-02,CMP0000036,FIELD,,AUTO,597384.76,677879.66,0,NPA,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000117,2026-06,2,2,2026-06-25,CMP0000077,FIELD,,AUTO,597384.76,677879.66,0,NPA,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000118,2026-07,1,1,2026-07-14,CMP0000004,WHATSAPP,BRW0002884,PERSONAL,369788.07,431931.92,30,HIGH,PAID,Asia/Dubai,0.0,0,0
ACC0000120,2026-01,1,1,2026-01-26,CMP0000107,WHATSAPP,BRW0004055,BNPL,340350.94,38663.97,45,NPA,WRITEOFF,UTC,0.0,0,0
ACC0000120,2026-02,1,1,2026-02-02,CMP0000067,WHATSAPP,BRW0004055,BNPL,340350.94,38663.97,45,NPA,WRITEOFF,UTC,0.0,0,0
